"","Rafus","test","0.0016"
"","Milton","Test 2","0.0016"
"5978c6446e3f4593e0ad7f4f14bc6466e21ad281c5130c4718796a980841a8e7","Rafa","Hola como va?","0.001"
"32c50ba7f94093581bdf4256b49f8aea85be8a24eddaf659420c2a0813bdf37d","Rafa","Hola como va?","0.001"
"14719992f43f18c223a9df28b4ccc27fc263daf33dab9bf38b8cbed445fc8f6e","Rafa","Espero que bien","0.001"
"31d011a09ef47e34000063a43626c69ebfeb47c440165030d7a847add05b311e","Vulkan0n","testeando la cosa","0.001"
"493e129a45b42ef857134a10531cce301fac5a738a9c0ab8412fc9b96404515c","Anonymous","⠀","0.001"
"a1b16664a933900ac62ff02c294026de0220c611736be4b5403c5dba40fbb81f","Anonymous","⠀","0.001"
"c1dc8631def8c53199867bf8cfbd9cffe65dd117664ac9c9b7268e027ec210cb","Anonymous","⠀","0.001"
"a4812c001fdaf427a0aca956897cfe30458a8a11c0b80ed0f5e4fd90424e9cc5","Anonymous","⠀","0.001"
"3f828b189a899062eb2febf523058e987017a49b6bed7e349995b27742ec782e","Rafafa","como le baila?","0.001"
"b8a27e580d54ae492bf4b064885d523c187959b036264f07e27064274b2ed8f7","Rafa","hola q tal","0.001"
"7f0292b83b24cacad797d91ccfd4aa8fad36b61510d3b954dd5f3038b0d7c409","Rompi","Q rompimo","0.001"
"6b3fdc3db1cb022df156835c2d61be3c4a3509e71a6aeef6a26b5a101a520be4","Anonymous","test 44","0.0012"
"52a3f712e8bdb9a98547cf991c0d321b03302ab8828594df88bdbc981e683cdd","holis","holis como va","0.0013"
"649b7de06f86fd4c7ab3295d007b744a0409ec1259c776159d7feca5106f8cb8","Rafus","asd asd asd asd asd a","0.0012"
"a72d073be63a406456320768cf4b400235140632ce70af454e90d638371da129","MiltonR","un monton","0.0017"
"58fbd32ec60cfd384bd3a601d175692205af96d9a8ebe67de12c939c68e4fef5","Anonymous","⠀","0.001"
